1,8,17-08-2021,24-08-2021
2,8,17-08-2021,24-08-2021
3,1,18-08-2021,15-09-2021
4,3,18-08-2021,15-09-2021
5,5,18-08-2021,15-09-2021
6,9,20-08-2021,27-08-2021
7,8,20-08-2021,27-08-2021
8,1,20-08-2021,17-09-2021
9,1,22-08-2021,19-09-2021
10,16,23-08-2021,30-08-2021
11,15,23-08-2021,30-08-2021
12,16,25-08-2021,01-09-2021
13,7,25-08-2021,01-09-2021
14,15,25-08-2021,01-09-2021
15,9,27-08-2021,03-09-2021
16,4,27-08-2021,24-09-2021
17,14,28-08-2021,04-09-2021
18,1,28-08-2021,25-09-2021
19,11,29-08-2021,26-09-2021
20,3,29-08-2021,26-09-2021
21,7,29-08-2021,05-09-2021
22,16,29-08-2021,05-09-2021
23,11,29-08-2021,26-09-2021
24,2,29-08-2021,26-09-2021
25,1,29-08-2021,26-09-2021
26,7,29-08-2021,05-09-2021
27,11,29-08-2021,26-09-2021
28,8,30-08-2021,06-09-2021
29,15,31-08-2021,07-09-2021
30,6,31-08-2021,07-09-2021
31,7,01-09-2021,08-09-2021
32,2,01-09-2021,29-09-2021
33,11,02-09-2021,30-09-2021
34,9,04-09-2021,11-09-2021
35,4,05-09-2021,03-10-2021
36,2,05-09-2021,03-10-2021
37,4,05-09-2021,03-10-2021
38,11,07-09-2021,05-10-2021
39,7,08-09-2021,15-09-2021
40,7,08-09-2021,15-09-2021
41,13,09-09-2021,16-09-2021
42,3,09-09-2021,07-10-2021
43,9,10-09-2021,17-09-2021
44,1,10-09-2021,08-10-2021
45,8,10-09-2021,17-09-2021
46,1,10-09-2021,08-10-2021
47,11,11-09-2021,09-10-2021
48,6,11-09-2021,18-09-2021
49,10,11-09-2021,09-10-2021
50,7,12-09-2021,19-09-2021
51,5,12-09-2021,10-10-2021
52,4,13-09-2021,11-10-2021
53,8,13-09-2021,20-09-2021
54,4,13-09-2021,11-10-2021
55,10,14-09-2021,12-10-2021
56,3,14-09-2021,12-10-2021
57,12,14-09-2021,12-10-2021
58,15,14-09-2021,21-09-2021
59,5,15-09-2021,13-10-2021
60,10,16-09-2021,14-10-2021
61,12,17-09-2021,15-10-2021
62,1,17-09-2021,15-10-2021
63,11,17-09-2021,15-10-2021
64,15,18-09-2021,25-09-2021
65,4,19-09-2021,17-10-2021
66,14,19-09-2021,26-09-2021
67,6,20-09-2021,27-09-2021
68,8,20-09-2021,27-09-2021
69,2,20-09-2021,18-10-2021
70,2,21-09-2021,19-10-2021
71,8,22-09-2021,29-09-2021
72,16,22-09-2021,29-09-2021
73,1,24-09-2021,22-10-2021
74,13,25-09-2021,02-10-2021
75,4,25-09-2021,23-10-2021
76,16,26-09-2021,03-10-2021
77,1,26-09-2021,24-10-2021
78,2,27-09-2021,25-10-2021
79,8,27-09-2021,04-10-2021
80,14,28-09-2021,05-10-2021
81,1,30-09-2021,28-10-2021
82,10,30-09-2021,28-10-2021
83,2,01-10-2021,29-10-2021
84,15,02-10-2021,09-10-2021
85,12,02-10-2021,30-10-2021
86,3,02-10-2021,30-10-2021
87,15,03-10-2021,10-10-2021
88,7,03-10-2021,10-10-2021
89,11,03-10-2021,31-10-2021
90,7,03-10-2021,10-10-2021
91,16,03-10-2021,10-10-2021
92,12,03-10-2021,31-10-2021
93,2,03-10-2021,31-10-2021
94,7,03-10-2021,10-10-2021
95,14,03-10-2021,10-10-2021
96,7,04-10-2021,11-10-2021
97,1,04-10-2021,01-11-2021
98,6,04-10-2021,11-10-2021
99,16,05-10-2021,12-10-2021
100,1,05-10-2021,02-11-2021
101,8,05-10-2021,12-10-2021
102,1,06-10-2021,03-11-2021
103,10,06-10-2021,03-11-2021
104,13,06-10-2021,13-10-2021
105,12,07-10-2021,14-10-2021
106,2,07-10-2021,04-11-2021
107,6,08-10-2021,15-10-2021
108,4,11-10-2021,08-11-2021
109,8,12-10-2021,19-10-2021
110,14,12-10-2021,19-10-2021
